producto_generico,grupo,motivo
TORTILLA DE MAÍZ,Cereales y derivados,Alimento base del gasto de los hogares; granel 1 kg en las 4 cadenas de referencia
HUEVO,Proteína animal,Consumo generalizado; presentaciones por pieza comparables
LECHE ULTRAPASTEURIZADA,Lácteos,Presentación de 1 L estandarizada; mayor presencia observada (95%+)
FRIJOL,Leguminosas,Base de la dieta; sin marca común entre cadenas (requiere precio por kg)
ARROZ,Cereales y derivados,Base de la dieta; sin marca común entre cadenas (requiere precio por kg)
ACEITE,Grasas,Presentaciones de 850 ml a 1 L comparables por litro
AZÚCAR,Endulzantes,Presentaciones de 900 g a 2 kg comparables por kg
PASTA PARA SOPA,Cereales y derivados,Paquetes de 200 g comparables por kg
ATÚN,Proteína animal,Lata o bolsa comparables por gramo drenado declarado
JITOMATE,Frutas y verduras,Granel 1 kg; alta volatilidad de precio útil para análisis semanal
CEBOLLA,Frutas y verduras,Granel 1 kg
PAPA,Frutas y verduras,Granel 1 kg
PLÁTANO,Frutas y verduras,Granel 1 kg
LIMÓN,Frutas y verduras,Granel 1 kg
CARNE POLLO,Proteína animal,Granel 1 kg; corte a definir en normalización
CARNE RES,Proteína animal,Granel 1 kg; corte a definir en normalización
HARINA DE MAÍZ,Cereales y derivados,Paquete 1 kg
JABÓN DE PASTA,Limpieza e higiene,Barra; comparable por gramo
PAPEL HIGIÉNICO,Limpieza e higiene,Comparable por rollo (hojas y metros varían: revisar en normalización)
DETERGENTE P/ROPA,Limpieza e higiene,Polvo comparable por kg
