marca_original,marca_corregida,marca_key,es_sin_marca
1_2_3,1_2_3,1_2_3,False
3 Minutos,3 Minutos,3 MINUTOS,False
3m. Nexcare,3m. Nexcare,3M. NEXCARE,False
5 Estrellas,5 Estrellas,5 ESTRELLAS,False
7 Semillas,7 Semillas,7 SEMILLAS,False
7 Up,7 Up,7 UP,False
Abbott,Abbott,ABBOTT,False
Abuelita,Abuelita,ABUELITA,False
Accu-chek,Accu-chek,ACCU-CHEK,False
Accu-chek. Active,Accu-chek. Active,ACCU-CHEK. ACTIVE,False
Accu-chek. Instant,Accu-chek. Instant,ACCU-CHEK. INSTANT,False
Accu-chek. Performa,Accu-chek. Performa,ACCU-CHEK. PERFORMA,False
Accu-chek. Softclix,Accu-chek. Softclix,ACCU-CHEK. SOFTCLIX,False
Ace,Ace,ACE,False
Acer,Acer,ACER,False
Acros,Acros,ACROS,False
Ades,Ades,ADES,False
Adidas,Adidas,ADIDAS,False
Adorable,Adorable,ADORABLE,False
Adorable. Dulces Abrazos,Adorable. Dulces Abrazos,ADORABLE. DULCES ABRAZOS,False
Aguascalientes,Aguascalientes,AGUASCALIENTES,False
Ajax Amonia,Ajax Amonia,AJAX AMONIA,False
Aksi,Aksi,AKSI,False
Aladino,Aladino,ALADINO,False
Alert,Alert,ALERT,False
Alexa,Alexa,ALEXA,False
Alfa Medical,Alfa Medical,ALFA MEDICAL,False
Alimentaci?n para el Bienestar,Alimentación para el Bienestar,ALIMENTACION PARA EL BIENESTAR,False
Alimentación para el Bienestar,Alimentación para el Bienestar,ALIMENTACION PARA EL BIENESTAR,False
All-bran. Kellogg's,All-bran. Kellogg's,ALL-BRAN. KELLOGG'S,False
All-bran. Kellogg?s,All-bran. Kellogg´s,ALL-BRAN. KELLOGG S,False
All-bran. Kellogg´s,All-bran. Kellogg´s,ALL-BRAN. KELLOGG S,False
Alpino,Alpino,ALPINO,False
Alpino. Pavino,Alpino. Pavino,ALPINO. PAVINO,False
Alpura,Alpura,ALPURA,False
Alpura. Cl?sica,Alpura. Clásica,ALPURA. CLASICA,False
Alpura. Clásica,Alpura. Clásica,ALPURA. CLASICA,False
Alpura. Deslactosada,Alpura. Deslactosada,ALPURA. DESLACTOSADA,False
Alpura. Selecta,Alpura. Selecta,ALPURA. SELECTA,False
Alpura. Vaquitas,Alpura. Vaquitas,ALPURA. VAQUITAS,False
Altamar,Altamar,ALTAMAR,False
Always,Always,ALWAYS,False
Amazon,Amazon,AMAZON,False
Amazon + Alexa,Amazon + Alexa,AMAZON + ALEXA,False
Ancla,Ancla,ANCLA,False
Andre. Brut. California,Andre. Brut. California,ANDRE. BRUT. CALIFORNIA,False
Andre. Rose,Andre. Rose,ANDRE. ROSE,False
Andreas,Andreas,ANDREAS,False
Apache,Apache,APACHE,False
Aprecio,Aprecio,APRECIO,False
Araceli,Araceli,ARACELI,False
Arcoiris,Arcoiris,ARCOIRIS,False
Ariel,Ariel,ARIEL,False
Asus,Asus,ASUS,False
At?n la Mar,Atún la Mar,ATUN LA MAR,False
Atrix. Intensive,Atrix. Intensive,ATRIX. INTENSIVE,False
Atún la Mar,Atún la Mar,ATUN LA MAR,False
Audaz,Audaz,AUDAZ,False
Aurrera,Aurrera,AURRERA,False
Av?cola,Avícola,AVICOLA,False
Ave,Ave,AVE,False
Avena 1,Avena 1,AVENA 1,False
Avícola,Avícola,AVICOLA,False
Axe,Axe,AXE,False
Axion,Axion,AXION,False
Azor. Aquarelo D?o,Azor. Aquarelo Dúo,AZOR. AQUARELO DUO,False
Azor. Aquarelo Dúo,Azor. Aquarelo Dúo,AZOR. AQUARELO DUO,False
Azor. Aquarelo Grip,Azor. Aquarelo Grip,AZOR. AQUARELO GRIP,False
Azor. Aquarelo Junior,Azor. Aquarelo Junior,AZOR. AQUARELO JUNIOR,False
Azor. Magistral Clásico,Azor. Magistral Clásico,AZOR. MAGISTRAL CLASICO,False
Azor. Pin Point,Azor. Pin Point,AZOR. PIN POINT,False
Azteca de Oro,Azteca de Oro,AZTECA DE ORO,False
Azucaradas. Maizoro,Azucaradas. Maizoro,AZUCARADAS. MAIZORO,False
B?falo,Búfalo,BUFALO,False
Baby Dove,Baby Dove,BABY DOVE,False
Baby Magic. Mennen,Baby Magic. Mennen,BABY MAGIC. MENNEN,False
Bacard?. Añejo,Bacardí. Añejo,BACARDI. ANEJO,False
Bacard?. Solera,Bacardí. Solera,BACARDI. SOLERA,False
Bacardí. Añejo,Bacardí. Añejo,BACARDI. ANEJO,False
Bacardí. Solera,Bacardí. Solera,BACARDI. SOLERA,False
Bachoco,Bachoco,BACHOCO,False
Baco,Baco,BACO,False
Bafar,Bafar,BAFAR,False
Bali Dreams,Bali Dreams,BALI DREAMS,False
Banana Boat. Aqua Kids,Banana Boat. Aqua Kids,BANANA BOAT. AQUA KIDS,False
Banana Boat. Dry Balance Sport,Banana Boat. Dry Balance Sport,BANANA BOAT. DRY BALANCE SPORT,False
Banana Boat. Kids Sport,Banana Boat. Kids Sport,BANANA BOAT. KIDS SPORT,False
Bandai,Bandai,BANDAI,False
Bandai (moose),Bandai (moose),BANDAI (MOOSE),False
Barajas,Barajas,BARAJAS,False
Barcel,Barcel,BARCEL,False
Barefoot,Barefoot,BAREFOOT,False
Barilla,Barilla,BARILLA,False
Barrilito,Barrilito,BARRILITO,False
Barrilito. 851,Barrilito. 851,BARRILITO. 851,False
Barrilito. Flexible. G-flex,Barrilito. Flexible. G-flex,BARRILITO. FLEXIBLE. G-FLEX,False
Barrilito. Pcc71,Barrilito. Pcc71,BARRILITO. PCC71,False
Baygon. Casa y Jardin,Baygon. Casa y Jardin,BAYGON. CASA Y JARDIN,False
Baygon. Total 1,Baygon. Total 1,BAYGON. TOTAL 1,False
Baygon. Ultra Verde,Baygon. Ultra Verde,BAYGON. ULTRA VERDE,False
Be-light,Be-light,BE-LIGHT,False
Bela,Bela,BELA,False
Benesta,Benesta,BENESTA,False
Benotto. Agressor,Benotto. Agressor,BENOTTO. AGRESSOR,False
Benotto. Giselle,Benotto. Giselle,BENOTTO. GISELLE,False
Benotto. Lyon,Benotto. Lyon,BENOTTO. LYON,False
Benzal,Benzal,BENZAL,False
Berol,Berol,BEROL,False
Beronia,Beronia,BERONIA,False
Bic,Bic,BIC,False
Bic. Cristal Fashion,Bic. Cristal Fashion,BIC. CRISTAL FASHION,False
"Bic. Cristal Fashion 1,2","Bic. Cristal Fashion 1,2","BIC. CRISTAL FASHION 1,2",False
Bic. Cristal Intenso,Bic. Cristal Intenso,BIC. CRISTAL INTENSO,False
Bic. Cristal. Diamante,Bic. Cristal. Diamante,BIC. CRISTAL. DIAMANTE,False
Bic. Cristal. Dura +,Bic. Cristal. Dura +,BIC. CRISTAL. DURA +,False
Bic. Cristal. Dura + el Cl?sico,Bic. Cristal. Dura + el Clásico,BIC. CRISTAL. DURA + EL CLASICO,False
Bic. Cristal. Dura + el Clásico,Bic. Cristal. Dura + el Clásico,BIC. CRISTAL. DURA + EL CLASICO,False
Bic. Cristal. Dura +. el Cl?sico,Bic. Cristal. Dura +. el Clásico,BIC. CRISTAL. DURA +. EL CLASICO,False
Bic. Cristal. Dura +. el Clásico,Bic. Cristal. Dura +. el Clásico,BIC. CRISTAL. DURA +. EL CLASICO,False
Bic. Cristal. Fashion,Bic. Cristal. Fashion,BIC. CRISTAL. FASHION,False
Bic. Cristal. Precisi?n,Bic. Cristal. Precisión,BIC. CRISTAL. PRECISION,False
Bic. Cristal. Precisi?n y Suavidad o Diamante,Bic. Cristal. Precisión y Suavidad o Diamante,BIC. CRISTAL. PRECISION Y SUAVIDAD O DIAMANTE,False
Bic. Cristal. Precisión,Bic. Cristal. Precisión,BIC. CRISTAL. PRECISION,False
Bic. Cristal. Precisión y Suavidad o Diamante,Bic. Cristal. Precisión y Suavidad o Diamante,BIC. CRISTAL. PRECISION Y SUAVIDAD O DIAMANTE,False
Bic. Cristal. Up,Bic. Cristal. Up,BIC. CRISTAL. UP,False
Bic. Evolution,Bic. Evolution,BIC. EVOLUTION,False
Bic. Evolution ? Kids,Bic. Evolution Ó Kids,BIC. EVOLUTION O KIDS,False
Bic. Evolution Ó Kids,Bic. Evolution Ó Kids,BIC. EVOLUTION O KIDS,False
Bic. Kids,Bic. Kids,BIC. KIDS,False
Bic. Kids. Puntas Xl,Bic. Kids. Puntas Xl,BIC. KIDS. PUNTAS XL,False
Bic. Marking,Bic. Marking,BIC. MARKING,False
Bic. Shimmers,Bic. Shimmers,BIC. SHIMMERS,False
Bic. Velocity. Side Clic,Bic. Velocity. Side Clic,BIC. VELOCITY. SIDE CLIC,False
Bida. Jumex,Bida. Jumex,BIDA. JUMEX,False
Bimbo,Bimbo,BIMBO,False
Bimbo. Bran Frut,Bimbo. Bran Frut,BIMBO. BRAN FRUT,False
Bimbo. Multigrano,Bimbo. Multigrano,BIMBO. MULTIGRANO,False
Bioexpert,Bioexpert,BIOEXPERT,False
Black & Decker,Black & Decker,BLACK & DECKER,False
Black+decker,Black+decker,BLACK+DECKER,False
Black+decker. Pulverix,Black+decker. Pulverix,BLACK+DECKER. PULVERIX,False
Black+decker. Purifry,Black+decker. Purifry,BLACK+DECKER. PURIFRY,False
Blanca Nieves,Blanca Nieves,BLANCA NIEVES,False
Blue Nun,Blue Nun,BLUE NUN,False
Blue Rhin,Blue Rhin,BLUE RHIN,False
Blue Rhin Liebfraumilch. Rheinhessen,Blue Rhin Liebfraumilch. Rheinhessen,BLUE RHIN LIEBFRAUMILCH. RHEINHESSEN,False
Bohemia. Pilsner,Bohemia. Pilsner,BOHEMIA. PILSNER,False
Boing!,Boing!,BOING!,False
Bold 3,Bold 3,BOLD 3,False
Bonafont,Bonafont,BONAFONT,False
Bonafont. Levité,Bonafont. Levité,BONAFONT. LEVITE,False
Borden,Borden,BORDEN,False
Borges. Cl?sico,Borges. Clásico,BORGES. CLASICO,False
Borges. Clásico,Borges. Clásico,BORGES. CLASICO,False
Borges. Original,Borges. Original,BORGES. ORIGINAL,False
Bormioli,Bormioli,BORMIOLI,False
Bostitch,Bostitch,BOSTITCH,False
Brasso,Brasso,BRASSO,False
Brut. Classic,Brut. Classic,BRUT. CLASSIC,False
Bueno,Bueno,BUENO,False
Bully,Bully,BULLY,False
Bumy Medical,Bumy Medical,BUMY MEDICAL,False
Burr,Burr,BURR,False
Butterball. Premium,Butterball. Premium,BUTTERBALL. PREMIUM,False
Búfalo,Búfalo,BUFALO,False
Calahua,Calahua,CALAHUA,False
California Bay,California Bay,CALIFORNIA BAY,False
California. Valle Redondo,California. Valle Redondo,CALIFORNIA. VALLE REDONDO,False
Calixa,Calixa,CALIXA,False
Calixa. Monte Xanic,Calixa. Monte Xanic,CALIXA. MONTE XANIC,False
Calmex,Calmex,CALMEX,False
Camay. Botanicals,Camay. Botanicals,CAMAY. BOTANICALS,False
Camay. Clasico,Camay. Clasico,CAMAY. CLASICO,False
Campanario,Campanario,CAMPANARIO,False
Campoamor,Campoamor,CAMPOAMOR,False
Canada Dry,Canada Dry,CANADA DRY,False
Canoil,Canoil,CANOIL,False
Canon,Canon,CANON,False
Cantaburros,Cantaburros,CANTABURROS,False
Capent,Capent,CAPENT,False
Caperucita,Caperucita,CAPERUCITA,False
