presentacion_original,presentacion_corregida,presentacion_key,unidad_base,contenido_base,cantidad,unidad_original,unidades_empaque,subtipo_conteo,regla,confianza,requiere_revision,motivo_revision,metodo,es_comparable
#20148441. Gabby´s Dollhouse. Gabby´ Canta y Celebra,#20148441. Gabby´s Dollhouse. Gabby´ Canta y Celebra,#20148441. GABBY S DOLLHOUSE. GABBY CANTA Y CELEBRA,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#2201. Hornito Mi Alegría,#2201. Hornito Mi Alegría,#2201. HORNITO MI ALEGRIA,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#2301. Hello Kitty Color Spray,#2301. Hello Kitty Color Spray,#2301. HELLO KITTY COLOR SPRAY,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#36730. Dragon Ball. Blue Goku o Super Saiyan o Vegeta o...,#36730. Dragon Ball. Blue Goku o Super Saiyan o Vegeta o...,#36730. DRAGON BALL. BLUE GOKU O SUPER SAIYAN O VEGETA O,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#38150. Anime Heroes. Naruto Uzumaki Ó Sasuke Uchiha,#38150. Anime Heroes. Naruto Uzumaki Ó Sasuke Uchiha,#38150. ANIME HEROES. NARUTO UZUMAKI O SASUKE UCHIHA,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#38330. Anime Heroes. Mega Monkey D. Luffy Ó Roronoa Zoro,#38330. Anime Heroes. Mega Monkey D. Luffy Ó Roronoa Zoro,#38330. ANIME HEROES. MEGA MONKEY D. LUFFY O RORONOA ZORO,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#6044952. Monster Jam. Megalodon R/c (escala 1:24),#6044952. Monster Jam. Megalodon R/c (escala 1:24),#6044952. MONSTER JAM. MEGALODON R/C (ESCALA 1:24),,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#6044955. Monster Jam. Grave Digger R/c (escala 1:24),#6044955. Monster Jam. Grave Digger R/c (escala 1:24),#6044955. MONSTER JAM. GRAVE DIGGER R/C (ESCALA 1:24),,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#6054190. Paw Patrol. Chase Rc Police Crusier o Marshall Rc Firetruck,#6054190. Paw Patrol. Chase Rc Police Crusier o Marshall Rc Firetruck,#6054190. PAW PATROL. CHASE RC POLICE CRUSIER O MARSHALL RC FIRETRUCK,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
#6054195. Paw Patrol. R/c. Marshall Rc Fire Truck o Chase Rc Police Cruiser,#6054195. Paw Patrol. R/c. Marshall Rc Fire Truck o Chase Rc Police Cruiser,#6054195. PAW PATROL. R/C. MARSHALL RC FIRE TRUCK O CHASE RC POLICE CRUISER,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
