producto_original,producto_corregido,producto_key
A.s.cor,A.s.cor,A.S.COR
Acarbosa,Acarbosa,ACARBOSA
Aceite,Aceite,ACEITE
Aceite de Oliva,Aceite de Oliva,ACEITE DE OLIVA
Aceituna,Aceituna,ACEITUNA
Acelga,Acelga,ACELGA
Aciclovir,Aciclovir,ACICLOVIR
Acido F?lico,Acido Fólico,ACIDO FOLICO
Acido Fólico,Acido Fólico,ACIDO FOLICO
Aclimafel,Aclimafel,ACLIMAFEL
Acondicionador y Enjuague,Acondicionador y Enjuague,ACONDICIONADOR Y ENJUAGUE
Adalat Oros,Adalat Oros,ADALAT OROS
Aderogyl 15,Aderogyl 15,ADEROGYL 15
Adimod,Adimod,ADIMOD
Afumix,Afumix,AFUMIX
Afungil,Afungil,AFUNGIL
Agrifen,Agrifen,AGRIFEN
Agua Oxigenada,Agua Oxigenada,AGUA OXIGENADA
Agua Sin Gas,Agua Sin Gas,AGUA SIN GAS
Agua con Gas,Agua con Gas,AGUA CON GAS
Aguacate,Aguacate,AGUACATE
Aires Acondicionados,Aires Acondicionados,AIRES ACONDICIONADOS
Ajo,Ajo,AJO
Ajonjol?,Ajonjolí,AJONJOLI
Ajonjolí,Ajonjolí,AJONJOLI
Alcachofa,Alcachofa,ALCACHOFA
Alcaparra,Alcaparra,ALCAPARRA
Alcohol,Alcohol,ALCOHOL
Alevian Duo,Alevian Duo,ALEVIAN DUO
Algod?n,Algodón,ALGODON
Algodón,Algodón,ALGODON
Alimento Preparado para Niños,Alimento Preparado para Niños,ALIMENTO PREPARADO PARA NINOS
Alimentos Preparados,Alimentos Preparados,ALIMENTOS PREPARADOS
Alka-seltzer,Alka-seltzer,ALKA-SELTZER
Almeja,Almeja,ALMEJA
Almendras,Almendras,ALMENDRAS
Alopurinol,Alopurinol,ALOPURINOL
Altruline,Altruline,ALTRULINE
Alubia,Alubia,ALUBIA
Amantadina Clorfenamina Paracetamol,Amantadina Clorfenamina Paracetamol,AMANTADINA CLORFENAMINA PARACETAMOL
Amaranto,Amaranto,AMARANTO
Amaryl,Amaryl,AMARYL
Amaryl M,Amaryl M,AMARYL M
Ambroxol,Ambroxol,AMBROXOL
Ambroxol Dextrometorfano,Ambroxol Dextrometorfano,AMBROXOL DEXTROMETORFANO
Ambroxol Salbutamol,Ambroxol Salbutamol,AMBROXOL SALBUTAMOL
Amikacina,Amikacina,AMIKACINA
Amlodipino,Amlodipino,AMLODIPINO
Amoxicilina,Amoxicilina,AMOXICILINA
"Amoxicilina, Acido Clavulanico","Amoxicilina, Acido Clavulanico","AMOXICILINA, ACIDO CLAVULANICO"
Amoxiclav. Bid,Amoxiclav. Bid,AMOXICLAV. BID
Ampicilina,Ampicilina,AMPICILINA
Ampliron Duo,Ampliron Duo,AMPLIRON DUO
Angeliq a,Angeliq a,ANGELIQ A
Antiflu-des,Antiflu-des,ANTIFLU-DES
Antiflu-des Jr.,Antiflu-des Jr.,ANTIFLU-DES JR
Apio,Apio,APIO
Aprovel,Aprovel,APROVEL
Arava,Arava,ARAVA
Arcoxia,Arcoxia,ARCOXIA
Arroz,Arroz,ARROZ
Artridol,Artridol,ARTRIDOL
Asenlix,Asenlix,ASENLIX
Asistentes de Voz,Asistentes de Voz,ASISTENTES DE VOZ
Aspiradoras,Aspiradoras,ASPIRADORAS
Aspirina,Aspirina,ASPIRINA
Aspirina Protect,Aspirina Protect,ASPIRINA PROTECT
At?n,Atún,ATUN
Atacand,Atacand,ATACAND
Atacand Plus,Atacand Plus,ATACAND PLUS
Ativan,Ativan,ATIVAN
Atorvastatina,Atorvastatina,ATORVASTATINA
Atún,Atún,ATUN
Augmentin 12 H.,Augmentin 12 H.,AUGMENTIN 12 H
Autopistas,Autopistas,AUTOPISTAS
Avamys 2a,Avamys 2a,AVAMYS 2A
Avellana,Avellana,AVELLANA
Avelox 7d,Avelox 7d,AVELOX 7D
Avena,Avena,AVENA
