prioridad,tipo,columna,presentacion_key,valor,motivo,filas,en_alcance,ejemplo_producto,sugerencia_unidad,sugerencia_contenido
1,presentacion,presentacion,CAJA,Caja,sin_cantidad,131627,True,Tinte para el Cabello,,
2,presentacion,presentacion,PAQUETE 10 CAJAS. 50 PIEZAS C/U,Paquete 10 Cajas. 50 Piezas C/u,conteo_por_unidad_de_empaque,35315,True,Cerillos,pieza,50.0
3,presentacion,presentacion,BOTE 305 GR./400 ML. BASE DE AGUA,Bote 305 Gr./400 Ml. Base de Agua,cantidades_alternativas,28198,True,Insecticida Aerosol,l,0.305
4,presentacion,presentacion,BOTE 338 GR./400 ML,Bote 338 Gr./400 Ml.,cantidades_alternativas,27174,True,Insecticida Aerosol,l,0.338
5,presentacion,presentacion,BOTE 309 GR. (SIN PROMOCION) O BOTE 372 GR. (CON PROMOCION),Bote 309 Gr. (sin Promoción) o Bote 372 Gr. (con Promoción),multiples_cantidades,23465,True,Insecticida Aerosol,kg,0.309
6,presentacion,presentacion,BOTE 351 GR./460 ML. O 305 GR./400 ML. BASE AGUA,Bote 351 Gr./460 Ml. o 305 Gr./400 Ml. Base Agua,cantidades_alternativas,23094,True,Insecticida Aerosol,l,0.351
7,presentacion,presentacion,BOTE 400 ML./475 GR. ANTIBACTERIAL,Bote 400 Ml./475 Gr. Antibacterial,cantidades_alternativas,22657,True,Spray Desinfectante,kg,0.4
8,presentacion,presentacion,PAQUETE 40 O 44 PIEZAS. GRANDE,Paquete 40 o 44 Piezas. Grande,cantidades_alternativas,22597,True,Pañales Desechables,pieza,40.0
9,presentacion,presentacion,CAJA 84 GR. (50 GR CARAMELO). CON CARAMELO. SABOR VAINILLA,Caja 84 Gr. (50 Gr Caramelo). con Caramelo. Sabor Vainilla,multiples_cantidades,22326,True,Flan,kg,0.084
10,presentacion,presentacion,BOTE 338 GR./400 ML. CUCARACHAS Y ESCOPRIONES,Bote 338 Gr./400 Ml. Cucarachas y Escopriones,cantidades_alternativas,21433,True,Insecticida Aerosol,l,0.338
11,presentacion,presentacion,BOTE 285 GR. (SIN PROMOCION) O BOTE 342 GR. (CON PROMOCION),Bote 285 Gr. (sin Promoción) o Bote 342 Gr. (con Promoción),multiples_cantidades,19881,True,Insecticida Aerosol,kg,0.285
12,presentacion,presentacion,BOTE 302 GR./460 ML. (CON PROMOCION) O BOTE 305 GR./400 ML,Bote 302 Gr./460 Ml. (con Promoción) o Bote 305 Gr./400 Ml.,cantidades_alternativas,17456,True,Insecticida Aerosol,l,0.302
13,presentacion,presentacion,PAQUETE 60 O 66 PIEZAS. GRANDE,Paquete 60 o 66 Piezas. Grande,cantidades_alternativas,17427,True,Pañales Desechables,pieza,60.0
14,presentacion,presentacion,BOLSA. CAMBRAY,Bolsa. Cambray,sin_cantidad,16022,True,Rábano,,
15,presentacion,presentacion,BOTE 175GR./179 ML. SENSITIVE,Bote 175gr./179 Ml. Sensitive,cantidades_alternativas,12807,True,Espuma de Afeitar,l,0.175
16,presentacion,presentacion,ESTUCHE CON 2. MACH 3. SENSITIVE,Estuche con 2. Mach 3. Sensitive,sin_cantidad,10037,True,Repuestos de Navajas,,
17,presentacion,presentacion,BOTE 517 GR. (1 LT.) SABOR NAPOLITANO,Bote 517 Gr. (1 Lt.) Sabor Napolitano,dimensiones_mixtas,9912,True,Helado,kg,0.517
18,presentacion,presentacion,PAQUETE CON 4. COMFORT 3. ADVANCE,Paquete con 4. Comfort 3. Advance,sin_cantidad,9654,True,Rastrillos Desechables,,
19,presentacion,presentacion,PAQUETE 800 O 880 GR,Paquete 800 Ó 880 Gr.,cantidades_alternativas,8997,True,Harina de Trigo,kg,0.8
20,presentacion,presentacion,PAQUETE 1 KG. O 1.1 KG,Paquete 1 Kg. Ó 1.1 Kg.,cantidades_alternativas,8673,True,Harina de Trigo,kg,1.0
21,presentacion,presentacion,BOTE 480 GR. (900 ML.) SABOR NAPOLITANO,Bote 480 Gr. (900 Ml.) Sabor Napolitano,dimensiones_mixtas,8139,True,Helado,kg,0.48
22,presentacion,presentacion,ESTUCHE CON 2. MACH 3,Estuche con 2. Mach 3,sin_cantidad,5785,True,Repuestos de Navajas,,
23,correccion_texto,presentacion,,Bolsa 900 Gr. Polvo. Poder Activo?,sin_candidato_unico,5123,True,Detergente P/ropa,,
24,correccion_texto,presentacion,,Botella 750 Ml. Especialidades. Reparación (néctar de Miel?),sin_candidato_unico,3146,True,Acondicionador y Enjuague,,
25,presentacion,presentacion,BOTELLA 3.785 LT. ENTERA,Botella 3.785 Lt. Entera,separador_ambiguo,1357,True,Leche Pasteurizada,l,3.785
26,presentacion,presentacion,BOTE 693 GR. (1.3 LT.) SABOR NAPOLITANO,Bote 693 Gr. (1.3 Lt.) Sabor Napolitano,dimensiones_mixtas,1002,True,Helado,kg,0.693
27,presentacion,presentacion,BOTE 624 GR. (1.17 LT.) SABOR NAPOLITANO,Bote 624 Gr. (1.17 Lt.) Sabor Napolitano,dimensiones_mixtas,568,True,Helado,kg,0.624
28,presentacion,presentacion,BOTE 672 GR. (1.3 LT.) SABOR NAPOLITANO,Bote 672 Gr. (1.3 Lt.) Sabor Napolitano,dimensiones_mixtas,412,True,Helado,kg,0.672
29,presentacion,presentacion,PAQUETE 1 KG. A 1.1 KG,Paquete 1 Kg. a 1.1 Kg.,multiples_cantidades,278,True,Harina de Trigo,kg,1.0
30,presentacion,presentacion,BOTE 673 GR. (1.3 LT.) SABOR NAPOLITANO,Bote 673 Gr. (1.3 Lt.) Sabor Napolitano,dimensiones_mixtas,45,True,Helado,kg,0.673
31,presentacion,presentacion,BOTELLA 1.892 LT. ENTERA,Botella 1.892 Lt. Entera,separador_ambiguo,1,True,Leche Pasteurizada,l,1.892
32,presentacion,presentacion,CAJA CON TUBO CON 20 GR. 1 GR./100 GR,Caja con Tubo con 20 Gr. 1 Gr./100 Gr.,cantidades_alternativas,21097,False,Unesia,kg,0.001
33,presentacion,presentacion,"FRASCO GOTERO 24 ML. 1.000 G., SOLUCION GOTAS","Frasco Gotero 24 Ml. 1.000 G., Solución Gotas",dimensiones_mixtas,20839,False,A.s.cor,l,0.024
34,presentacion,presentacion,CAJA CON UNA AMPOLLETA NO. 1 Y UNA AMPOLLETA NO. 2,Caja con Una Ampolleta No. 1 y Una Ampolleta No. 2,sin_cantidad,20778,False,Neuralin,,
35,presentacion,presentacion,CAJA CON FRASCO 120 DISPAROS. SUSPENSION 27.5 ΜG./50 ΜL,Caja con Frasco 120 Disparos. Suspensión 27.5 ?g./50 ?l.,sin_cantidad,19835,False,Avamys 2a,,
36,presentacion,presentacion,CAJA CON FRASCO AMPULA DE 10 ML. Y CINCO JERINGAS DE 3 ML. ESTERILIZADAS DESECHABLES. 50 000,Caja con Frasco Ámpula de 10 Ml. y Cinco Jeringas de 3 Ml. Esterilizadas Desechables. 50 000,multiples_cantidades,19316,False,Tiaminal B12,l,0.01
37,presentacion,presentacion,2 CAJAS CON 14 CAPSULAS DE 20 MG. C/U,2 Cajas con 14 Cápsulas de 20 Mg. C/u,conteo_por_unidad_de_empaque,18900,False,Ulsen,pieza,14.0
38,presentacion,presentacion,CAJA CON 1 FRASCO AMPULA CON 1 GR. DE POLVO Y AMPOLLETA CON 3.5 ML. DE DILUYENTE,Caja con 1 Frasco Ámpula con 1 Gr. de Polvo y Ampolleta con 3.5 Ml. de Diluyente,dimensiones_mixtas,18172,False,Cefaxona I.m.,kg,0.001
39,presentacion,presentacion,EMH 7602 JBS0B O JBS0A O JBS0C. 30 PLGS. 6 QUEMADORES. ENCENDIDO ELECTRONICO. COLOR NEGRO,Emh 7602 Jbs0b o Jbs0a o Jbs0c. 30 Plgs. 6 Quemadores. Encendido Electrónico. Color Negro,sin_cantidad,17755,False,Estufas,,
40,presentacion,presentacion,"CAJA CON 1 FRASCO AMPULA CON 1 GR. DE POLVO, 1 AMPOLLETA CON 3.5 ML. DE DISOLVENTE","Caja con 1 Frasco Ámpula con 1 Gr. de Polvo, 1 Ampolleta con 3.5 Ml. de Disolvente",dimensiones_mixtas,17235,False,Ceftrex Im,kg,0.001
41,presentacion,presentacion,BVSTDC05 O BVSTDC05-013. CAPACIDAD 5 TAZAS,Bvstdc05 o Bvstdc05-013. Capacidad 5 Tazas,sin_cantidad,16761,False,Cafeteras,,
42,presentacion,presentacion,2 CAJAS CON 30 TABLETAS DE 10 MG. C/U,2 Cajas con 30 Tabletas de 10 Mg. C/u,conteo_por_unidad_de_empaque,15896,False,Lipitor,pieza,30.0
43,presentacion,presentacion,CAJA CON FRASCO AMPULA CON POLVO Y AMPOLLETA CON 3.5 ML. DE DILUYENTE. SOLUCION 1.0 GR,Caja con Frasco Ámpula con Polvo y Ampolleta con 3.5 Ml. de Diluyente. Solución 1.0 Gr.,dimensiones_mixtas,15794,False,Ceftriaxona,l,0.0035
44,presentacion,presentacion,BLSTPEG-RPB O BLSTPEG-RPB-013. VELOCIDADES 6 + 1. BASE PLASTICO. VASO VIDRIO. COLOR ROJA,Blstpeg-rpb o Blstpeg-rpb-013. Velocidades 6 + 1. Base Plástico. Vaso Vidrio. Color Roja,sin_cantidad,15384,False,Licuadoras,,
45,presentacion,presentacion,2 CAJAS CON 30 TABLETAS DE 20 MG. C/U,2 Cajas con 30 Tabletas de 20 Mg. C/u,conteo_por_unidad_de_empaque,15107,False,Lipitor,pieza,30.0
46,presentacion,presentacion,"LT 57 BPSX (PLATA). 572 DM3. 2 PUERTAS, HORIZONTAL Y VERTICAL. DESHIELO AUTOMATICO AJUSTABLE","Lt 57 Bpsx (plata). 572 Dm3. 2 Puertas, Horizontal y Vertical. Deshielo Automático Ajustable",sin_cantidad,15045,False,Refrigeradores,,
47,presentacion,presentacion,X BOX. SERIE S. POWER YOUR DREAMS. 512 GB SSD. SIN JUEGO INCLUIDO,X Box. Serie S. Power Your Dreams. 512 Gb Ssd. Sin Juego Incluido,sin_cantidad,14487,False,Electrónicos de Video,,
