estado_key,estado_iso,estado_oficial
AGUASCALIENTES,MX-AGU,Aguascalientes
BAJA CALIFORNIA,MX-BCN,Baja California
BAJA CALIFORNIA SUR,MX-BCS,Baja California Sur
CAMPECHE,MX-CAM,Campeche
CHIAPAS,MX-CHP,Chiapas
CHIHUAHUA,MX-CHH,Chihuahua
CIUDAD DE MEXICO,MX-CMX,Ciudad de México
COAHUILA,MX-COA,Coahuila de Zaragoza
COLIMA,MX-COL,Colima
DURANGO,MX-DUR,Durango
ESTADO DE MEXICO,MX-MEX,México
GUANAJUATO,MX-GUA,Guanajuato
GUERRERO,MX-GRO,Guerrero
HIDALGO,MX-HID,Hidalgo
JALISCO,MX-JAL,Jalisco
MICHOACAN,MX-MIC,Michoacán de Ocampo
MORELOS,MX-MOR,Morelos
NAYARIT,MX-NAY,Nayarit
NUEVO LEON,MX-NLE,Nuevo León
OAXACA,MX-OAX,Oaxaca
PUEBLA,MX-PUE,Puebla
QUERETARO,MX-QUE,Querétaro
QUINTANA ROO,MX-ROO,Quintana Roo
SAN LUIS POTOSI,MX-SLP,San Luis Potosí
SINALOA,MX-SIN,Sinaloa
SONORA,MX-SON,Sonora
TABASCO,MX-TAB,Tabasco
TAMAULIPAS,MX-TAM,Tamaulipas
TLAXCALA,MX-TLA,Tlaxcala
VERACRUZ,MX-VER,Veracruz de Ignacio de la Llave
YUCATAN,MX-YUC,Yucatán
ZACATECAS,MX-ZAC,Zacatecas
